Date,SPY
2014-01-07,150.29928588867188
2014-01-08,150.33203125
2014-01-09,150.4303741455078
2014-01-10,150.83993530273438
2014-01-13,148.83299255371094
2014-01-14,150.45489501953125
2014-01-15,151.265869140625
2014-01-16,151.06930541992188
2014-01-17,150.4303741455078
2014-01-21,150.87266540527344
2014-01-22,150.97100830078125
2014-01-23,149.73403930664062
2014-01-24,146.539306640625
2014-01-27,145.8184814453125
2014-01-28,146.6868438720703
2014-01-29,145.27784729003906
2014-01-30,146.81785583496094
2014-01-31,145.95767211914062
2014-02-03,142.6728973388672
2014-02-04,143.6722869873047
2014-02-05,143.4920196533203
2014-02-06,145.38433837890625
2014-02-07,147.18649291992188
2014-02-10,147.4568328857422
2014-02-11,149.07054138183594
2014-02-12,149.14425659179688
2014-02-13,149.91427612304688
2014-02-14,150.7416534423828
2014-02-18,150.9218292236328
2014-02-19,149.9224853515625
2014-02-20,150.8071746826172
2014-02-21,150.6351318359375
2014-02-24,151.47067260742188
2014-02-25,151.41331481933594
2014-02-26,151.42152404785156
2014-02-27,152.2161407470703
2014-02-28,152.60108947753906
2014-03-03,151.52804565429688
2014-03-04,153.65785217285156
2014-03-05,153.7970733642578
2014-03-06,154.14926147460938
2014-03-07,154.2149200439453
2014-03-10,154.13296508789062
2014-03-11,153.37112426757812
2014-03-12,153.41209411621094
2014-03-13,151.69183349609375
2014-03-14,151.265869140625
2014-03-17,152.63389587402344
2014-03-18,153.72340393066406
2014-03-19,152.90423583984375
2014-03-20,153.7970733642578
2014-03-21,153.20057678222656
2014-03-24,152.56698608398438
2014-03-25,153.29107666015625
2014-03-26,152.1885986328125
2014-03-27,151.86767578125
2014-03-28,152.61642456054688
2014-03-31,153.8670196533203
2014-04-01,154.88726806640625
2014-04-02,155.40565490722656
2014-04-03,155.19989013671875
2014-04-04,153.3651580810547
2014-04-07,151.67025756835938
2014-04-08,152.29550170898438
2014-04-09,153.93280029296875
2014-04-10,150.69935607910156
2014-04-11,149.3417510986328
2014-04-14,150.51829528808594
2014-04-15,151.5550537109375
2014-04-16,153.1430206298828
2014-04-17,153.3568878173828
2014-04-21,153.89169311523438
2014-04-22,154.59107971191406
2014-04-23,154.22903442382812
2014-04-24,154.54173278808594
2014-04-25,153.27455139160156
2014-04-28,153.76004028320312
2014-04-29,154.47589111328125
2014-04-30,154.93661499023438
2014-05-01,154.9530487060547
2014-05-02,154.73094177246094
2014-05-05,155.027099609375
2014-05-06,153.67779541015625
2014-05-07,154.5828399658203
2014-05-08,154.4182891845703
2014-05-09,154.6486358642578
2014-05-12,156.1543426513672
2014-05-13,156.29425048828125
2014-05-14,155.55364990234375
2014-05-15,154.1879119873047
2014-05-16,154.72271728515625
2014-05-19,155.29039001464844
2014-05-20,154.31137084960938
2014-05-21,155.611328125
2014-05-22,155.98980712890625
2014-05-23,156.61512756347656
2014-05-27,157.57778930664062
2014-05-28,157.46255493164062
2014-05-29,158.27703857421875
2014-05-30,158.5321807861328
2014-06-02,158.71315002441406
2014-06-03,158.63084411621094
2014-06-04,158.95172119140625
2014-06-05,159.9884490966797
2014-06-06,160.75364685058594
2014-06-09,160.91824340820312
