CAGR,AnnVol,Sharpe,MaxDD
-0.097013,0.128027,-0.732648,-0.829059
-0.075590,0.130113,-0.538654,-0.748308
-0.033758,0.131400,-0.195384,-0.484477
-0.024847,0.127726,-0.132949,-0.507002
-0.010757,0.129428,-0.018644,-0.506444
-0.019203,0.128377,-0.086641,-0.621515
-0.060548,0.133011,-0.402758,-0.684926
-0.025693,0.127506,-0.140263,-0.540405
-0.096504,0.129303,-0.719741,-0.862650
0.006506,0.125196,0.114542,-0.418656
-0.020959,0.127771,-0.101677,-0.449670
-0.023871,0.127348,-0.125811,-0.639149
-0.058361,0.127221,-0.408816,-0.763256
0.012874,0.127469,0.164293,-0.362089
-0.030929,0.127414,-0.182663,-0.612756
-0.015523,0.127945,-0.058141,-0.542113
-0.075277,0.131064,-0.531239,-0.749940
-0.055068,0.127661,-0.379586,-0.627204
-0.085941,0.130617,-0.622295,-0.798363
-0.070833,0.126906,-0.515198,-0.696544
-0.055844,0.128987,-0.380703,-0.641348
-0.021276,0.124773,-0.109796,-0.464248
-0.079960,0.131201,-0.569266,-0.854470
-0.065686,0.126470,-0.473680,-0.744368
-0.023106,0.127623,-0.119172,-0.612304
-0.040395,0.123806,-0.270988,-0.644030
-0.046566,0.127615,-0.309586,-0.743831
-0.018512,0.128070,-0.081613,-0.601120
-0.060349,0.129117,-0.417250,-0.692001
-0.089876,0.128931,-0.665583,-0.832327
-0.048824,0.128838,-0.323803,-0.737178
-0.040853,0.128871,-0.258941,-0.608738
-0.020924,0.124363,-0.107676,-0.505197
-0.061114,0.125322,-0.440239,-0.693656
0.000256,0.124886,0.064657,-0.379053
-0.052666,0.123513,-0.376084,-0.677344
-0.040270,0.130567,-0.249226,-0.693726
-0.096654,0.128351,-0.727423,-0.835971
-0.116582,0.126640,-0.915025,-0.879083
-0.082038,0.130444,-0.590660,-0.793992
-0.020366,0.126461,-0.099227,-0.659998
-0.079171,0.127517,-0.582741,-0.802558
-0.063892,0.124303,-0.468744,-0.745578
-0.013625,0.126583,-0.044888,-0.582818
-0.082951,0.128070,-0.611799,-0.778374
-0.031902,0.129449,-0.185508,-0.618893
-0.079774,0.128557,-0.582087,-0.753825
-0.041858,0.126661,-0.274046,-0.725143
-0.093990,0.128554,-0.703164,-0.831008
-0.029538,0.131134,-0.162860,-0.584203
-0.009356,0.128835,-0.008380,-0.585402
0.005812,0.130595,0.109911,-0.457546
-0.002646,0.128906,0.044156,-0.463446
-0.068948,0.128503,-0.491393,-0.780402
-0.048919,0.129608,-0.321918,-0.699050
-0.007269,0.128865,0.008017,-0.401477
-0.090762,0.128949,-0.672957,-0.816314
-0.020342,0.130995,-0.091117,-0.611233
-0.094776,0.129192,-0.705788,-0.818459
-0.059561,0.129681,-0.408325,-0.742950
-0.092071,0.128275,-0.688510,-0.815526
-0.012274,0.125791,-0.035134,-0.417088
-0.014533,0.127540,-0.050815,-0.600921
0.010161,0.126177,0.143397,-0.404482
-0.074318,0.125341,-0.553158,-0.717546
-0.045174,0.126730,-0.301136,-0.588527
-0.052338,0.126061,-0.363119,-0.675967
-0.090086,0.128487,-0.670106,-0.783093
-0.106079,0.128725,-0.806378,-0.865530
-0.087659,0.126629,-0.660850,-0.852196
-0.028496,0.128516,-0.160481,-0.516844
-0.083383,0.125030,-0.633504,-0.818243
-0.013169,0.125270,-0.043022,-0.529157
-0.120556,0.129465,-0.927012,-0.880553
-0.062862,0.128588,-0.440298,-0.686147
-0.060336,0.125927,-0.430996,-0.843828
-0.114698,0.132809,-0.850338,-0.865731
-0.046280,0.130412,-0.297874,-0.727967
-0.072429,0.129440,-0.515863,-0.778964
-0.073478,0.127397,-0.535028,-0.786703
-0.051105,0.127737,-0.346535,-0.755044
-0.053016,0.128351,-0.359980,-0.701573
-0.064361,0.128717,-0.452215,-0.777450
-0.058181,0.129958,-0.395978,-0.662584
-0.036605,0.128210,-0.226483,-0.700675
-0.040291,0.129615,-0.252241,-0.667744
-0.044300,0.127980,-0.289832,-0.541642
0.043259,0.128189,0.394671,-0.377255
-0.072299,0.125806,-0.533351,-0.779227
-0.027669,0.127445,-0.156229,-0.588025
-0.049487,0.125073,-0.343028,-0.543447
-0.060629,0.126944,-0.428949,-0.685364
-0.063641,0.125380,-0.461507,-0.721779
-0.120763,0.127122,-0.948299,-0.866519
-0.024038,0.124934,-0.132109,-0.486173
-0.038639,0.130049,-0.237728,-0.641198
-0.045632,0.128058,-0.300469,-0.627603
-0.052178,0.129882,-0.347364,-0.713236
-0.057881,0.132047,-0.385206,-0.642488
-0.076602,0.128674,-0.554673,-0.778410
-0.065614,0.130989,-0.452304,-0.670387
-0.058844,0.129250,-0.404285,-0.739483
-0.021654,0.129491,-0.104085,-0.457511
-0.020164,0.130923,-0.089839,-0.458284
-0.041954,0.125848,-0.277456,-0.669391
-0.044544,0.127138,-0.294617,-0.643672
-0.080886,0.131306,-0.576324,-0.749338
-0.028271,0.125968,-0.164505,-0.613508
-0.050694,0.126752,-0.346779,-0.675823
-0.020105,0.129931,-0.091088,-0.543007
-0.053942,0.125527,-0.378751,-0.632542
-0.079250,0.126675,-0.588149,-0.753826
-0.017069,0.129517,-0.067924,-0.593884
-0.032783,0.130066,-0.191020,-0.485281
-0.040112,0.131206,-0.246138,-0.641342
-0.090524,0.126347,-0.687438,-0.807004
-0.049821,0.132464,-0.319199,-0.635100
-0.086728,0.128678,-0.640313,-0.811183
-0.046101,0.129599,-0.299093,-0.676069
-0.015582,0.130711,-0.054596,-0.459422
-0.045301,0.128059,-0.297793,-0.672546
0.003802,0.129037,0.094140,-0.598029
-0.018022,0.126151,-0.080867,-0.624023
-0.023876,0.132420,-0.116049,-0.616428
-0.015807,0.129327,-0.058324,-0.639340
-0.149374,0.134595,-1.133950,-0.932216
-0.066251,0.125595,-0.482731,-0.730631
-0.088304,0.127995,-0.657968,-0.819398
-0.098878,0.127048,-0.755594,-0.817949
-0.070264,0.128018,-0.504758,-0.764794
-0.046033,0.126260,-0.309871,-0.580781
-0.040316,0.123498,-0.271269,-0.624254
-0.016417,0.127140,-0.066467,-0.526735
-0.027981,0.128049,-0.157369,-0.554134
