day,p2.5,p5,p25,p50,p75,p95,p97.5
180,0.310521,0.324789,0.372845,0.410468,0.446273,0.499160,0.515188
181,0.310505,0.324130,0.373276,0.410863,0.446021,0.499518,0.515091
182,0.310101,0.322658,0.373326,0.410171,0.445971,0.500528,0.516566
183,0.308988,0.323206,0.372789,0.409402,0.446220,0.499287,0.518966
184,0.308430,0.322593,0.371995,0.409086,0.446598,0.499589,0.519155
185,0.307774,0.322826,0.371946,0.408540,0.446872,0.501293,0.520863
186,0.308321,0.322705,0.371981,0.408998,0.446539,0.501970,0.518826
187,0.308841,0.323453,0.371226,0.409048,0.446518,0.501416,0.519883
188,0.308338,0.321524,0.371827,0.409526,0.446121,0.503130,0.519873
189,0.307443,0.321795,0.371495,0.409741,0.445831,0.502474,0.521854
190,0.307609,0.321573,0.372086,0.409028,0.446258,0.502229,0.520955
191,0.307960,0.321897,0.371678,0.409376,0.446490,0.501586,0.519701
192,0.307001,0.321484,0.371529,0.408966,0.446124,0.503162,0.519870
193,0.306465,0.321907,0.371875,0.409351,0.446327,0.504435,0.519303
194,0.307681,0.321649,0.372072,0.408894,0.446042,0.504614,0.518546
195,0.306686,0.320889,0.371594,0.409107,0.445662,0.504484,0.519613
196,0.305684,0.320622,0.372275,0.408871,0.445786,0.505266,0.520958
197,0.306344,0.319523,0.372173,0.408510,0.446998,0.504803,0.521197
198,0.305792,0.319571,0.372086,0.409416,0.446462,0.504750,0.520359
199,0.305808,0.320251,0.371622,0.409141,0.446234,0.504926,0.520992
200,0.306164,0.320049,0.370877,0.408947,0.446174,0.504399,0.522036
201,0.306562,0.320270,0.371499,0.408892,0.446510,0.504610,0.521720
202,0.305191,0.319499,0.371138,0.408293,0.446079,0.503510,0.523144
203,0.303621,0.319822,0.370938,0.408811,0.446166,0.505107,0.521402
204,0.304242,0.320004,0.370940,0.408439,0.446033,0.506129,0.521398
205,0.303325,0.319236,0.370431,0.408299,0.445536,0.506191,0.522385
206,0.302133,0.318697,0.370836,0.408514,0.445886,0.506302,0.523087
207,0.300938,0.318064,0.370064,0.408505,0.445849,0.506885,0.523763
208,0.300681,0.318226,0.369998,0.408248,0.445786,0.507052,0.525783
209,0.300326,0.318071,0.369520,0.408124,0.446393,0.507617,0.524348
210,0.300218,0.318289,0.369201,0.407907,0.446844,0.508420,0.525429
211,0.300500,0.317940,0.368604,0.407429,0.446872,0.508944,0.525959
212,0.300978,0.317238,0.368122,0.406953,0.447020,0.508607,0.525400
213,0.300648,0.318163,0.368251,0.407393,0.446243,0.507956,0.525755
214,0.301100,0.317351,0.368387,0.407415,0.445817,0.508441,0.525200
215,0.301716,0.317154,0.368634,0.407188,0.446286,0.507590,0.525207
216,0.301360,0.316156,0.368521,0.407494,0.446329,0.508675,0.526101
217,0.300677,0.316545,0.368434,0.408552,0.446271,0.508287,0.526830
218,0.300954,0.317672,0.368509,0.408255,0.446271,0.508315,0.525966
219,0.298844,0.316114,0.367304,0.407800,0.446114,0.508072,0.525258
220,0.298426,0.316187,0.367428,0.407735,0.445944,0.508020,0.525492
221,0.298789,0.315893,0.367088,0.407681,0.446293,0.507096,0.525341
222,0.299476,0.314656,0.366946,0.407739,0.446391,0.506802,0.525368
223,0.299174,0.314477,0.366772,0.407378,0.446813,0.508060,0.522749
224,0.299998,0.313703,0.367013,0.407436,0.446723,0.508021,0.525431
225,0.298253,0.314589,0.366724,0.407280,0.446530,0.508765,0.525620
226,0.297050,0.314710,0.366648,0.406829,0.446366,0.509488,0.526763
227,0.297084,0.313972,0.366076,0.406248,0.446928,0.508666,0.525773
228,0.297808,0.313162,0.365796,0.406198,0.446716,0.510969,0.525808
229,0.297441,0.312583,0.366037,0.405723,0.446566,0.511450,0.525920
230,0.297547,0.311992,0.365382,0.405643,0.446970,0.510296,0.525563
231,0.296152,0.312435,0.364781,0.405497,0.447285,0.509269,0.527512
232,0.296868,0.312788,0.364200,0.405765,0.446475,0.511725,0.525444
233,0.296036,0.311831,0.364155,0.405556,0.446866,0.511763,0.527011
234,0.295209,0.310349,0.364001,0.405324,0.446176,0.512187,0.525864
235,0.295015,0.310188,0.364232,0.404210,0.445737,0.510974,0.528334
236,0.294974,0.310201,0.364567,0.404063,0.445522,0.512262,0.528783
237,0.295325,0.310212,0.364665,0.403922,0.445915,0.513014,0.525702
238,0.295749,0.310226,0.365004,0.403636,0.447022,0.511534,0.528812
239,0.294778,0.309732,0.364460,0.404360,0.447420,0.510926,0.527845
240,0.294731,0.309444,0.364134,0.404808,0.446989,0.510962,0.527066
241,0.295200,0.309725,0.364351,0.405142,0.446594,0.510665,0.527334
242,0.294680,0.309219,0.364279,0.404178,0.446718,0.510156,0.529312
243,0.294318,0.309554,0.363935,0.404085,0.446461,0.510552,0.527369
244,0.295085,0.309580,0.364151,0.404044,0.446814,0.510657,0.527342
245,0.295144,0.308655,0.363723,0.403898,0.447270,0.510971,0.527880
246,0.294170,0.307529,0.363851,0.404045,0.446935,0.510982,0.527268
247,0.293029,0.307640,0.363115,0.403106,0.446146,0.511474,0.527993
248,0.291726,0.306786,0.363016,0.402793,0.446109,0.511935,0.529059
249,0.291183,0.306486,0.363058,0.402672,0.446134,0.510977,0.529706
250,0.289762,0.307076,0.363596,0.403375,0.446273,0.511532,0.530738
251,0.288143,0.307124,0.363395,0.403463,0.446892,0.511341,0.530975
252,0.286435,0.307416,0.363502,0.403126,0.446682,0.512272,0.531468
253,0.286538,0.305005,0.362825,0.403203,0.447118,0.511735,0.532266
254,0.287487,0.304846,0.362787,0.403073,0.447551,0.513634,0.532789
255,0.287430,0.306049,0.363094,0.402969,0.447342,0.514228,0.531239
256,0.286724,0.305203,0.362716,0.402381,0.446592,0.514148,0.531681
257,0.287129,0.304814,0.362109,0.402230,0.445567,0.514914,0.531738
258,0.286680,0.304303,0.361715,0.402285,0.446197,0.514658,0.531343
259,0.286994,0.304273,0.361815,0.402232,0.446111,0.514392,0.532370
260,0.286729,0.304281,0.361458,0.402508,0.445126,0.512412,0.532285
261,0.287645,0.304477,0.361435,0.402567,0.445187,0.512568,0.532891
262,0.286257,0.303791,0.361494,0.402162,0.445904,0.513436,0.531476
263,0.285640,0.303245,0.361436,0.402436,0.446184,0.515161,0.531113
264,0.285321,0.303962,0.361144,0.401586,0.446889,0.516299,0.532075
265,0.286297,0.303696,0.360622,0.401508,0.446643,0.514148,0.531016
266,0.287250,0.303501,0.359944,0.401228,0.445948,0.515154,0.532051
267,0.285046,0.303572,0.359340,0.400564,0.445613,0.513433,0.533372
268,0.285208,0.303068,0.359779,0.400684,0.446505,0.514288,0.534249
269,0.285412,0.301537,0.359538,0.400797,0.446921,0.513399,0.534652
270,0.285932,0.301569,0.359095,0.400122,0.446397,0.512901,0.534957
271,0.286051,0.302010,0.358658,0.400649,0.446368,0.515034,0.535135
272,0.285079,0.300888,0.358542,0.399850,0.446500,0.516906,0.535532
273,0.284124,0.299985,0.358381,0.400259,0.446834,0.515592,0.536355
274,0.285376,0.300531,0.358149,0.399482,0.446235,0.517829,0.537669
275,0.284708,0.299561,0.358236,0.399497,0.446422,0.516924,0.536339
276,0.284166,0.299240,0.358175,0.399246,0.445968,0.518420,0.535422
277,0.285264,0.299854,0.357803,0.399267,0.446385,0.518588,0.535056
278,0.285073,0.300384,0.357588,0.399609,0.445817,0.516069,0.536860
279,0.284738,0.300415,0.356625,0.400105,0.445643,0.516562,0.535506
