Date,regime,gross_ret,trading_costs,mgmt_fee,borrow_costs,net_ret,equity,bench_net_ret,bench_equity
2018-01-31,bull,0.00428827,-0.00003607,-0.00000000,-0.00000544,0.00424676,0.95518841,0.00049287,2.90489509
2018-02-01,bull,-0.00046174,-0.00014388,-0.00000000,-0.00000644,-0.00061207,0.95460377,-0.00113824,2.90158863
2018-02-02,bull,-0.01619312,-0.00012434,-0.00000000,-0.00000679,-0.01632425,0.93902058,-0.02177356,2.83841070
2018-02-05,neutral,-0.02172223,-0.00007834,-0.00000000,-0.00000637,-0.02180695,0.91854341,-0.04182632,2.71969042
2018-02-06,neutral,0.00783069,-0.00004342,-0.00000000,-0.00000675,0.00778052,0.92569015,0.01969846,2.77326414
2018-02-07,neutral,-0.00421109,-0.00003300,-0.00000000,-0.00000735,-0.00425143,0.92175464,-0.00542821,2.75821027
2018-02-08,neutral,-0.01450729,-0.00006014,-0.00000000,-0.00000714,-0.01457457,0.90832047,-0.03751263,2.65474255
2018-02-09,neutral,0.00142071,-0.00004602,-0.00000000,-0.00000758,0.00136711,0.90956225,0.01501824,2.69461212
2018-02-12,neutral,0.00550798,-0.00003142,-0.00000000,-0.00000781,0.00546875,0.91453641,0.01468076,2.73417107
2018-02-13,neutral,0.00075294,-0.00003249,-0.00000000,-0.00000829,0.00071216,0.91518771,0.00248397,2.74096267
2018-02-14,neutral,0.00715226,-0.00001710,-0.00000000,-0.00000846,0.00712671,0.92170999,0.01349242,2.77794489
2018-02-15,neutral,-0.00238530,-0.00005934,-0.00000000,-0.00000883,-0.00245346,0.91944861,0.01275648,2.81338169
2018-02-16,neutral,-0.00153728,-0.00004958,-0.00000000,-0.00000931,-0.00159617,0.91798101,0.00028952,2.81419620
2018-02-20,neutral,0.00356356,-0.00003853,-0.00000000,-0.00000976,0.00351527,0.92120796,-0.00626448,2.79656672
2018-02-21,neutral,0.00564431,-0.00002913,-0.00000000,-0.00001014,0.00560504,0.92637137,-0.00497829,2.78264461
2018-02-22,neutral,0.00153613,-0.00007361,-0.00000000,-0.00001057,0.00145195,0.92771641,0.00129305,2.78624270
2018-02-23,neutral,-0.00522915,-0.00005554,-0.00000000,-0.00001099,-0.00529569,0.92280352,0.01593548,2.83064283
2018-02-26,neutral,0.00332088,-0.00004825,-0.00000000,-0.00001151,0.00326112,0.92581289,0.01160873,2.86350300
2018-02-27,neutral,-0.00139737,-0.00004431,-0.00000000,-0.00001213,-0.00145381,0.92446694,-0.01249019,2.82773731
2018-02-28,neutral,-0.00533934,-0.00003350,-0.00000000,-0.00001262,-0.00538545,0.91948827,-0.01013362,2.79908210
2018-03-01,neutral,-0.00759933,-0.00017109,-0.00000000,-0.00001160,-0.00778201,0.91233280,-0.01454423,2.75837159
2018-03-02,neutral,-0.00230180,-0.00012970,-0.00000000,-0.00001146,-0.00244296,0.91010400,0.00515151,2.77258137
2018-03-05,neutral,-0.00455876,-0.00010114,-0.00000000,-0.00001148,-0.00467138,0.90585256,0.01155443,2.80461698
2018-03-06,neutral,0.00248070,-0.00007097,-0.00000000,-0.00001132,0.00239842,0.90802517,0.00253113,2.81171584
2018-03-07,neutral,-0.00684701,-0.00004683,-0.00000000,-0.00001132,-0.00690515,0.90175513,-0.00036971,2.81067633
2018-03-08,bull,0.00168680,-0.00019464,-0.00000000,-0.00000938,0.00148278,0.90309223,0.00483538,2.82426701
2018-03-09,bull,0.01895586,-0.00012678,-0.00000000,-0.00000820,0.01882089,0.92008923,0.01739867,2.87340551
2018-03-12,bull,-0.00102733,-0.00010374,-0.00000000,-0.00000828,-0.00113934,0.91904093,-0.00125844,2.86978949
2018-03-13,bull,-0.00809614,-0.00006857,-0.00000000,-0.00000815,-0.00817285,0.91152974,-0.00646647,2.85123208
2018-03-14,bull,0.00387773,-0.00005357,-0.00000000,-0.00000814,0.00381602,0.91500816,-0.00513499,2.83659104
2018-03-15,bull,-0.00252071,-0.00005252,-0.00000000,-0.00000807,-0.00258131,0.91264624,-0.00109332,2.83348974
2018-03-16,bull,0.00101155,-0.00003677,-0.00000000,-0.00000827,0.00096652,0.91352833,0.00108074,2.83655200
2018-03-19,bull,-0.01706228,-0.00002511,-0.00000000,-0.00000841,-0.01709580,0.89791083,-0.01353373,2.79816288
2018-03-20,bull,0.02563929,-0.00014871,-0.00000000,-0.00000658,0.02548400,0.92079319,0.00169703,2.80291145
2018-03-21,bull,-0.00002186,-0.00003605,-0.00000000,-0.00000698,-0.00006489,0.92073344,-0.00192297,2.79752155
2018-03-22,neutral,-0.04142799,-0.00028554,-0.00000000,-0.00000479,-0.04171832,0.88232199,-0.02500058,2.72758189
2018-03-23,neutral,-0.01241941,-0.00007428,-0.00000000,-0.00000546,-0.01249914,0.87129372,-0.02131816,2.66943488
2018-03-26,neutral,0.01963977,-0.00006325,-0.00000000,-0.00000497,0.01957154,0.88834628,0.02735540,2.74245835
2018-03-27,neutral,-0.01574560,-0.00003030,-0.00000000,-0.00000494,-0.01578084,0.87432743,-0.01701540,2.69579432
2018-03-28,neutral,-0.00929103,-0.00002008,-0.00000000,-0.00000525,-0.00931637,0.86618187,-0.00295838,2.68781915
2018-03-29,neutral,0.00788251,-0.00007516,-0.00000000,-0.00000452,0.00780284,0.87294056,0.01277415,2.72215375
2018-04-02,bear,-0.00923657,-0.00005442,-0.00000000,-0.00000414,-0.00929513,0.86482646,-0.02158833,2.66338700
2018-04-03,bull,0.00470635,-0.00004047,-0.00000000,-0.00000391,0.00466197,0.86885826,0.01281367,2.69751475
2018-04-04,bull,0.00585068,-0.00002978,-0.00000000,-0.00000375,0.00581715,0.87391253,0.01069555,2.72636616
